                  id   redshift        sdss.up    sdss.up_err        sdss.gp  sdss.gp_err     sdss.rp  sdss.rp_err        sdss.ip    sdss.ip_err        sdss.zp    sdss.zp_err 
 1237660612899897470  0.0297165     0.19325125    0.021632766     0.45136973  0.045388702   0.5588925  0.056452192     0.64197487     0.06527369      0.6272938     0.07563412 
 1237660612902387719  0.0211954      0.5223743    0.053146396      2.8618596   0.28625304   6.1396837   0.61405176       9.044482      0.9045861       11.91253      1.1921414 
 1237660612902518788  0.0197109      0.4248329     0.05413337      1.1382464  0.115852125   2.0550745   0.21182694      2.6932127     0.27713218      2.7398813     0.29551512 
 1237660613440634958  0.0286762    0.111486465     0.01389349     0.31734702   0.03201232   0.4751631   0.04796228      0.5956172     0.06039167     0.80921316    0.088305086 
 1237660613972918408  0.0208591     0.18664776    0.030174637         0.6133    0.0622499  0.79870635  0.081918225      0.9049975     0.09492741      0.6655134     0.12943348 
 1237660613972918476  0.0292494     0.27330428     0.03339675      0.6135331    0.0619492   0.8686278   0.08764904     0.93246007     0.09603937     0.99954337     0.13378939 
 1237660613975801949  0.0199802     0.36652178     0.04269418     0.80761105   0.08139815    1.053766   0.10610953      1.2547673     0.12823033      1.2871839      0.1619312 
 1237660613976457255  0.0213799       0.766333     0.20759818      2.9100187    0.5623582   5.7340374    0.9592419       8.007197      1.2945112      10.103109      1.4651579 
 1237660614512082980  0.0306052       0.651311      0.0687037      2.1846466   0.21919215   3.8110502   0.38176593      5.2443337     0.52664554       6.240055     0.63324213 
 1237660614512345143  0.0206837      1.3114322     0.13802779      4.6013136   0.46056437    8.119061   0.81261265      10.906093      1.0917856      12.758796      1.2897391 
 1237660614513131658  0.0200123      1.1048298     0.11374775      3.9175298    0.3925749    6.953731    0.6962441       9.239078      0.9250849      11.727856      1.1761043 
 1237660615050788911  0.0224069     0.54352313     0.06759365      1.0465527    0.1312022   1.2011651    0.1668349      1.2391651     0.19022857      1.1924465     0.23454332 
 1237658300609855568  0.0216533      0.1891089    0.022997072     0.41123128  0.041867886   0.5254812   0.05332939      0.6474246     0.06587394      0.6907216     0.08079395 
 1237660670357340289   0.021904      0.4938916    0.054150872      2.1059344    0.2108293    3.276124    0.3280172      4.0766497     0.40859026       4.589144     0.47362795 
 1237660670894211210  0.0262231      0.5597166    0.061185405      2.4889169   0.24944699    4.227994   0.42319015       5.408556      0.5418029       6.587734     0.66786015 
 1237661811197870261  0.0216073     0.11648803    0.017562337      0.2743108  0.028248364  0.47564903   0.04840822       0.586193    0.060425784     0.50833666     0.08664309 
 1237661811202457857  0.0246362     0.07333022    0.020446187     0.26134828  0.027328547  0.39127755  0.040239107     0.49271685    0.051735725     0.39589363     0.06812059 
 1237661811728842840  0.0313886     0.72031504     0.07378892       2.082255   0.20839263   3.6821668   0.36851156      5.0391665     0.50438297      6.3499403      0.6380395 
 1237661811729498180  0.0272373      0.7039662    0.074080214      2.8138459    0.2816084     5.62901     0.563124      7.1243076     0.71288496       9.443375      0.9486454 
 1237661811729760529  0.0213461     0.38452554     0.05055163      1.4779625   0.14847042    2.178199   0.21829955       2.648319     0.26723167      2.6684644     0.29840556 
 1237661811729825865  0.0212886     0.19253477    0.029570695      0.7852942  0.079272054   1.5011119   0.15111043       2.028338     0.20677356      1.8164102      0.2685705 
 1237660612902518802  0.0199188      3.5555449     0.37850186      18.666374    2.0004694    42.98444     4.812292       61.53863       6.564706      75.805824       7.774475 
 1237661812273184857  0.0301426      0.1978494    0.025427205      0.4892543  0.049447678   0.6895698  0.069650054      0.7525402     0.07712796      0.8055573     0.10363954 
 1237661812273774687  0.0287671      0.7015465    0.074575074      2.7745647   0.28013554   5.4476523   0.54770154      7.5534477       0.757542       9.801272      0.9861156 
 1237661812811169924  0.0194505      1.3010302     0.13272293      4.4799657   0.44951236    7.313869   0.73275423       9.848964      0.9872405      12.071583      1.2122722 
 1237661812811235345  0.0238504     0.12185853    0.017694034      0.2951626  0.030077074  0.40319222   0.04074689      0.4832662     0.04976991      0.4430886     0.06770948 
 1237661812811563096  0.0253101     0.39160764    0.080201715      1.2392344   0.13003273    2.615495   0.27332005      3.9987605      0.4154522      4.8876786     0.51622164 
 1237661812811759739  0.0264472     0.35487002    0.037672166      1.0491885   0.10504109   1.7640736    0.1765833      2.2586522     0.22615582      2.6257641     0.26701438 
 1237661812812021888  0.0258717      0.5680392     0.05988716      1.7141331   0.17314802   2.7046986   0.27190816      3.4631715     0.34910062      4.0401645     0.41089007 
 1237661812812218443  0.0252196      0.4110751    0.042588826      1.9142689   0.19150573   3.8704453    0.3871601      5.3410225       0.534264      6.7329826      0.6746853 
 1237660613438734580  0.0204616     0.12001276    0.015624387     0.26217052  0.026599072   0.3792525  0.038804874     0.43931255    0.045585636     0.48248315    0.063188404 
 1237660613440897140   0.017837     0.09039856    0.011117048     0.23546652  0.023740271   0.3283867  0.033242352     0.41087022     0.04184571     0.43288028    0.051358957 
